Date,Open,High,Low,Close,Adj Close,Volume
12/04/2012,39.810001,40.060001,39.759998,39.933334,39.181576,854400
13/04/2012,39.833332,39.923332,39.299999,39.383331,38.641922,1909800
16/04/2012,39.459999,39.566666,38.810001,39.246666,38.507832,1428000
17/04/2012,39.593334,40.116669,39.529999,39.869999,39.119423,1388100
18/04/2012,39.776669,39.880001,39.599998,39.696667,38.94936,1175700
19/04/2012,40.233334,40.860001,40.106667,40.283333,39.524975,4836300
20/04/2012,40.619999,40.866669,40.423332,40.656666,39.891296,1421100
23/04/2012,40.48,40.529999,39.970001,40.513332,39.750656,1656300
24/04/2012,40.563332,40.743332,40.389999,40.556667,39.793171,1242300
25/04/2012,40.866669,41.376667,40.743332,41.279999,40.502895,1866600
26/04/2012,41.436668,41.743332,41.436668,41.613335,40.829956,920700
27/04/2012,41.84,42.156666,41.373333,42.013332,41.22242,1281900
30/04/2012,42.216667,42.216667,41.673332,41.796665,41.009823,714000
01/05/2012,41.686668,42.056667,41.416668,41.639999,40.856121,753000
02/05/2012,41.580002,42.033333,41.423332,41.990002,41.199524,796200
03/05/2012,41.919998,42.073334,41.310001,41.413334,40.633724,717000
04/05/2012,41.299999,41.299999,40.603333,40.610001,39.845505,1662300
07/05/2012,40.713333,41.66,40.713333,41.48,40.699127,1899600
08/05/2012,41.146667,41.736668,40.743332,41.693333,40.908432,1787700
09/05/2012,41.293331,41.369999,40.896667,41.176666,40.401508,1267500
10/05/2012,41.380001,41.709999,41.306667,41.59,40.807045,909000
11/05/2012,41.343334,42.299999,41.343334,42.143333,41.349976,2846100
14/05/2012,41.976665,42.290001,41.726665,42.103333,41.310722,1012500
15/05/2012,42.143333,42.293331,41.756668,41.993332,41.202793,3225900
16/05/2012,41.986668,42.259998,41.876667,41.893333,41.104687,1442400
17/05/2012,41.893333,41.996666,40.753334,40.776669,40.009029,3866700
18/05/2012,40.723331,40.826668,38.323334,40.133331,39.377804,4202100
21/05/2012,40.25,41.293331,40.243332,41.240002,40.463654,5448000
22/05/2012,41.393333,41.793331,41.07,41.32,40.542133,1895100
23/05/2012,40.886665,41.209999,40.5,41.166668,40.391682,2142000
24/05/2012,41.306667,41.630001,41.080002,41.596668,40.81361,1316400
25/05/2012,41.630001,41.75,41.43,41.733334,40.947681,1051200
29/05/2012,41.666668,41.796665,41.283333,41.763332,40.977119,1572600
30/05/2012,41.403332,41.593334,41.176666,41.466667,40.686031,3278700
31/05/2012,41.316666,41.433334,40.686668,41.07,40.296837,2858700
01/06/2012,40.336666,40.66,39.746666,39.823334,39.07365,2376900
04/06/2012,39.823334,40.369999,39.43,40.049999,39.296047,3414000
05/06/2012,39.84,40.59,39.84,40.443333,39.68198,2103000
06/06/2012,40.773335,41.220001,40.700001,41.153332,40.378605,1068000
07/06/2012,41.643333,41.706669,40.683334,40.700001,39.933807,1026600
08/06/2012,40.666668,41.273335,40.380001,41.189999,40.414581,447300
11/06/2012,41.626667,41.626667,40.439999,40.446667,39.685249,1015200
12/06/2012,40.663334,41.200001,40.363335,41.126667,40.352444,1392600
13/06/2012,41.103333,41.293331,40.446667,40.560001,39.79644,609900
14/06/2012,40.556667,41.313332,40.459999,41.213333,40.437489,1970700
15/06/2012,41.389999,41.786667,41.166668,41.726665,40.941147,1571100
18/06/2012,41.566666,42.27,41.456669,42.076668,41.284565,1556100
19/06/2012,42.453335,42.91,42.349998,42.663334,41.860191,2104800
20/06/2012,42.84,42.893333,42.386665,42.796665,41.991001,842700
21/06/2012,42.833332,42.906666,42.053333,42.196667,41.402294,2619000
22/06/2012,42.310001,42.970001,41.956669,42.950001,42.203465,996000
25/06/2012,42.52,42.543331,42.099998,42.303333,41.568039,1109100
26/06/2012,42.466667,42.843334,42.423332,42.689999,41.947983,1266000
27/06/2012,42.733334,43.376667,42.700001,43.326668,42.573578,2374200
28/06/2012,42.740002,43.106667,41.603333,42.183334,41.450115,3069300
29/06/2012,43.103333,43.330002,42.873333,43.32,42.567028,2029500
02/07/2012,43.470001,44.400002,43.279999,44.336666,43.566029,2406300
03/07/2012,44.393333,44.753334,44.243332,44.686668,43.90995,1336800
05/07/2012,44.666668,44.68,44.376667,44.503334,43.729782,811200
06/07/2012,44.376667,44.486668,43.916668,44.09,43.323639,1963200
09/07/2012,44.119999,44.389999,43.98,44.346668,43.575851,532200
10/07/2012,44.619999,44.66,43.553333,43.676666,42.917492,1566000
